Roster

  System.X
  CardiacOutput.CO
  CardiacOutput.RAP
  CardiacOutput.MCFP
  CardiacOutput.Slope
  FluidVolumes.AP
  FluidVolumes.BV
  FluidVolumes.ECFV
  FluidVolumes.RPP
  FluidVolumes.UO
  FlowAutoregulation.TPR
  BaroreceptorReflex.AFFNA
  BaroreceptorReflex.SYMEnd
  CardiacOutput.V0
  CardiacOutput.slope_a
  CardiacOutput.slope_b
  CardiacOutput.SlopeB
  CardiacOutput.HSBasic
  FluidVolumes.RDrop
  FluidVolumes.Intake
  FlowAutoregulation.KAUTO
  BaroreceptorReflex.CDROP
  BaroreceptorReflex.KBARO
  CardiacOutput.StarlingA
  CardiacOutput.Starlingm
  CardiacOutput.StarlingS
  FluidVolumes.FluidA
  FluidVolumes.Fluidm
  FluidVolumes.FluidS
  FluidVolumes.Urinem
  FlowAutoregulation.AutoA
  FlowAutoregulation.Autom
  FlowAutoregulation.AutoS
  BaroreceptorReflex.AffNaA
  BaroreceptorReflex.AffNam
  BaroreceptorReflex.AffNaS
  BaroreceptorReflex.SympsA
  BaroreceptorReflex.Sympsm
  BaroreceptorReflex.SympsS
  BaroreceptorReflex.SympsB
  CardiacOutput.RVRa
  CardiacOutput.RVRb
0.00,11875.697,0.267,18.341,0.007765,203.4,5645.7,15000.0,203.407,4.622,0.017,2.092,1.358,3284,0.3494,0.6470,0.0069,1,0.0,0.417,0.00050,0.0,0.00069,13998.3,1.8,3.3,7527.776,3.508,10967.344,0.051,0.050,12.189,4916.964,2.097,4.249,33.781,1.014,3.752,0.647,1.345,0.03415,0.00094,
28800.00,4521.449,-2.330,5.064,0.007853,94.5,3928.6,11244.6,94.535,0.530,0.021,1.531,1.384,3284,0.3494,0.6470,0.0069,1,0.0,0.417,0.00050,0.0,0.00069,13998.3,1.8,3.3,7527.776,3.508,10967.344,0.051,0.050,12.189,4916.964,2.097,4.249,33.781,1.014,3.752,0.647,1.345,0.03415,0.00094,
28805.00,3356.595,-2.681,3.491,0.008008,86.6,3719.6,10894.1,86.600,0.230,0.026,1.111,1.463,3284,0.3494,0.6470,0.0069,1,0.0,0.417,0.00050,0.0,0.00069,13998.3,1.8,3.3,7527.776,3.508,10967.344,0.051,0.050,12.189,4916.964,2.097,4.249,33.781,1.014,3.752,0.647,1.345,0.03415,0.00094,
28810.00,2327.457,-3.063,1.920,0.008676,81.1,3505.0,10545.0,81.052,0.031,0.035,0.735,1.733,3284,0.3494,0.6470,0.0069,1,0.0,0.417,0.00050,0.0,0.00069,13998.3,1.8,3.3,7527.776,3.508,10967.344,0.051,0.050,12.189,4916.964,2.097,4.249,33.781,1.014,3.752,0.647,1.345,0.03415,0.00094,
28815.00,1628.788,-3.370,0.019,0.010191,57.4,3285.6,10196.9,57.368,0.000,0.035,0.001,2.359,3284,0.3494,0.6470,0.0069,1,0.0,0.417,0.00050,0.0,0.00069,13998.3,1.8,3.3,7527.776,3.508,10967.344,0.051,0.050,12.189,4916.964,2.097,4.249,33.781,1.014,3.752,0.647,1.345,0.03415,0.00094,
28820.00,620.172,-3.637,-2.258,0.010191,21.8,3062.1,9849.0,21.788,0.000,0.035,0.000,2.359,3284,0.3494,0.6470,0.0069,1,0.0,0.417,0.00050,0.0,0.00069,13998.3,1.8,3.3,7527.776,3.508,10967.344,0.051,0.050,12.189,4916.964,2.097,4.249,33.781,1.014,3.752,0.647,1.345,0.03415,0.00094,
0.00,10451.971,1.828,17.024,0.006842,179.0,6059.4,15000.0,179.022,5.543,0.017,2.617,0.938,3571,0.3528,0.6464,0.0070,1,0.0,0.722,0.00048,0.0,0.00074,13923.5,1.9,3.1,8018.117,3.738,11088.508,0.053,0.041,10.811,4499.663,2.625,4.411,31.338,1.025,3.712,0.457,0.937,0.02938,0.00095,
28800.00,4443.237,-1.864,5.093,0.006840,90.7,4315.7,11552.7,90.676,0.598,0.020,1.801,0.943,3571,0.3528,0.6464,0.0070,1,0.0,0.722,0.00048,0.0,0.00074,13923.5,1.9,3.1,8018.117,3.738,11088.508,0.053,0.041,10.811,4499.663,2.625,4.411,31.338,1.025,3.712,0.457,0.937,0.02938,0.00095,
28805.00,3532.062,-2.231,3.558,0.006908,84.3,4086.2,11203.3,84.326,0.235,0.024,1.289,0.958,3571,0.3528,0.6464,0.0070,1,0.0,0.722,0.00048,0.0,0.00074,13923.5,1.9,3.1,8018.117,3.738,11088.508,0.053,0.041,10.811,4499.663,2.625,4.411,31.338,1.025,3.712,0.457,0.937,0.02938,0.00095,
28810.00,2301.614,-2.674,1.937,0.006940,82.6,3850.2,10855.8,82.571,0.138,0.036,1.125,0.972,3571,0.3528,0.6464,0.0070,1,0.0,0.722,0.00048,0.0,0.00074,13923.5,1.9,3.1,8018.117,3.738,11088.508,0.053,0.041,10.811,4499.663,2.625,4.411,31.338,1.025,3.712,0.457,0.937,0.02938,0.00095,
28815.00,1633.293,-3.267,0.343,0.009322,69.2,3608.0,10508.7,69.185,0.000,0.042,0.129,1.952,3571,0.3528,0.6464,0.0070,1,0.0,0.722,0.00048,0.0,0.00074,13923.5,1.9,3.1,8018.117,3.738,11088.508,0.053,0.041,10.811,4499.663,2.625,4.411,31.338,1.025,3.712,0.457,0.937,0.02938,0.00095,
28820.00,700.593,-3.537,-1.962,0.009349,29.5,3361.3,10162.3,29.546,0.000,0.042,0.000,1.962,3571,0.3528,0.6464,0.0070,1,0.0,0.722,0.00048,0.0,0.00074,13923.5,1.9,3.1,8018.117,3.738,11088.508,0.053,0.041,10.811,4499.663,2.625,4.411,31.338,1.025,3.712,0.457,0.937,0.02938,0.00095,
0.00,5777.698,7.254,16.256,0.006193,99.0,5988.1,15000.0,98.961,1.629,0.017,1.070,0.586,3363,0.3512,0.6687,0.0071,1,0.0,1.027,0.00045,0.0,0.00069,11956.8,1.8,3.4,7848.508,3.658,10897.187,0.051,0.046,10.939,6421.162,1.982,3.501,37.223,1.036,3.672,0.494,0.528,0.03574,0.00093,
28800.00,6203.800,19.432,27.388,0.006182,59.0,7793.4,42183.9,59.024,0.000,0.010,1.045,0.590,3363,0.3512,0.6687,0.0071,1,0.0,1.027,0.00045,0.0,0.00069,11956.8,1.8,3.4,7848.508,3.658,10897.187,0.051,0.046,10.939,6421.162,1.982,3.501,37.223,1.036,3.672,0.494,0.528,0.03574,0.00093,
28805.00,6203.800,19.432,27.378,0.006182,59.0,7791.7,41839.1,59.045,0.000,0.010,1.046,0.590,3363,0.3512,0.6687,0.0071,1,0.0,1.027,0.00045,0.0,0.00069,11956.8,1.8,3.4,7848.508,3.658,10897.187,0.051,0.046,10.939,6421.162,1.982,3.501,37.223,1.036,3.672,0.494,0.528,0.03574,0.00093,
28810.00,6203.800,19.432,27.367,0.006182,59.1,7790.0,41494.2,59.065,0.000,0.010,1.047,0.590,3363,0.3512,0.6687,0.0071,1,0.0,1.027,0.00045,0.0,0.00069,11956.8,1.8,3.4,7848.508,3.658,10897.187,0.051,0.046,10.939,6421.162,1.982,3.501,37.223,1.036,3.672,0.494,0.528,0.03574,0.00093,
28815.00,6203.800,19.432,27.356,0.006182,59.1,7788.2,41149.3,59.086,0.000,0.010,1.049,0.590,3363,0.3512,0.6687,0.0071,1,0.0,1.027,0.00045,0.0,0.00069,11956.8,1.8,3.4,7848.508,3.658,10897.187,0.051,0.046,10.939,6421.162,1.982,3.501,37.223,1.036,3.672,0.494,0.528,0.03574,0.00093,
28820.00,6203.800,19.432,27.344,0.006182,59.1,7786.3,40804.5,59.107,0.000,0.010,1.050,0.590,3363,0.3512,0.6687,0.0071,1,0.0,1.027,0.00045,0.0,0.00069,11956.8,1.8,3.4,7848.508,3.658,10897.187,0.051,0.046,10.939,6421.162,1.982,3.501,37.223,1.036,3.672,0.494,0.528,0.03574,0.00093,
0.00,8544.194,1.637,14.646,0.006419,146.3,5727.8,15000.0,146.345,3.850,0.017,1.904,0.915,3446,0.3503,0.6353,0.0067,1,0.0,1.546,0.00050,0.0,0.00080,12892.0,1.9,3.1,7701.632,3.581,11140.499,0.053,0.038,10.560,5895.742,2.043,4.073,45.389,1.048,3.578,0.605,0.898,0.03513,0.00092,
28800.00,5765.371,-1.561,7.731,0.007148,115.7,4527.6,12301.9,115.662,1.546,0.020,0.760,1.219,3446,0.3503,0.6353,0.0067,1,0.0,1.546,0.00050,0.0,0.00080,12892.0,1.9,3.1,7701.632,3.581,11140.499,0.053,0.038,10.560,5895.742,2.043,4.073,45.389,1.048,3.578,0.605,0.898,0.03513,0.00092,
28805.00,4599.965,-1.966,6.357,0.007166,115.4,4333.1,11951.9,115.439,1.527,0.025,0.749,1.231,3446,0.3503,0.6353,0.0067,1,0.0,1.546,0.00050,0.0,0.00080,12892.0,1.9,3.1,7701.632,3.581,11140.499,0.053,0.038,10.560,5895.742,2.043,4.073,45.389,1.048,3.578,0.605,0.898,0.03513,0.00092,
28810.00,4109.228,-2.369,5.351,0.007819,111.3,4130.2,11602.0,111.258,1.099,0.027,0.550,1.511,3446,0.3503,0.6353,0.0067,1,0.0,1.546,0.00050,0.0,0.00080,12892.0,1.9,3.1,7701.632,3.581,11140.499,0.053,0.038,10.560,5895.742,2.043,4.073,45.389,1.048,3.578,0.605,0.898,0.03513,0.00092,
28815.00,3311.840,-2.734,4.060,0.008548,106.5,3920.9,11254.3,106.472,0.772,0.032,0.347,1.820,3446,0.3503,0.6353,0.0067,1,0.0,1.546,0.00050,0.0,0.00080,12892.0,1.9,3.1,7701.632,3.581,11140.499,0.053,0.038,10.560,5895.742,2.043,4.073,45.389,1.048,3.578,0.605,0.898,0.03513,0.00092,
28820.00,2603.400,-2.945,2.297,0.008849,83.6,3705.5,10908.1,83.562,0.097,0.032,0.002,1.945,3446,0.3503,0.6353,0.0067,1,0.0,1.546,0.00050,0.0,0.00080,12892.0,1.9,3.1,7701.632,3.581,11140.499,0.053,0.038,10.560,5895.742,2.043,4.073,45.389,1.048,3.578,0.605,0.898,0.03513,0.00092,
0.00,12721.550,2.604,21.823,0.008304,217.9,5866.1,15000.0,217.895,5.684,0.017,1.679,1.161,3238,0.3537,0.6577,0.0078,1,0.0,0.578,0.00044,0.0,0.00066,12817.2,1.8,3.4,7752.006,3.605,10949.178,0.048,0.049,10.688,5478.441,1.693,3.699,42.947,0.917,3.792,0.529,1.149,0.03407,0.00093,
28800.00,4976.563,-2.102,5.826,0.008806,96.8,3899.7,10986.4,96.762,0.597,0.019,0.743,1.348,3238,0.3537,0.6577,0.0078,1,0.0,0.578,0.00044,0.0,0.00066,12817.2,1.8,3.4,7752.006,3.605,10949.178,0.048,0.049,10.688,5478.441,1.693,3.699,42.947,0.917,3.792,0.529,1.149,0.03407,0.00093,
28805.00,3434.505,-2.580,3.901,0.008957,95.3,3673.7,10636.3,95.342,0.525,0.028,0.688,1.397,3238,0.3537,0.6577,0.0078,1,0.0,0.578,0.00044,0.0,0.00066,12817.2,1.8,3.4,7752.006,3.605,10949.178,0.048,0.049,10.688,5478.441,1.693,3.699,42.947,0.917,3.792,0.529,1.149,0.03407,0.00093,
28810.00,2617.183,-3.062,2.184,0.010730,80.7,3441.7,10286.6,80.692,0.016,0.031,0.179,2.051,3238,0.3537,0.6577,0.0078,1,0.0,0.578,0.00044,0.0,0.00066,12817.2,1.8,3.4,7752.006,3.605,10949.178,0.048,0.049,10.688,5478.441,1.693,3.699,42.947,0.917,3.792,0.529,1.149,0.03407,0.00093,
28815.00,1516.677,-3.327,-0.338,0.010787,46.6,3206.8,9939.4,46.610,0.000,0.031,0.000,2.066,3238,0.3537,0.6577,0.0078,1,0.0,0.578,0.00044,0.0,0.00066,12817.2,1.8,3.4,7752.006,3.605,10949.178,0.048,0.049,10.688,5478.441,1.693,3.699,42.947,0.917,3.792,0.529,1.149,0.03407,0.00093,
28820.00,392.701,-3.690,-2.905,0.010787,12.0,2968.8,9592.3,12.042,0.000,0.031,0.000,2.066,3238,0.3537,0.6577,0.0078,1,0.0,0.578,0.00044,0.0,0.00066,12817.2,1.8,3.4,7752.006,3.605,10949.178,0.048,0.049,10.688,5478.441,1.693,3.699,42.947,0.917,3.792,0.529,1.149,0.03407,0.00093,
0.00,10042.567,3.283,18.326,0.007046,172.0,6086.2,15000.0,172.009,4.348,0.017,1.843,1.039,3485,0.3498,0.6505,0.0069,1,0.0,0.942,0.00045,0.0,0.00064,14703.0,2.0,3.4,7800.046,3.649,10599.237,0.049,0.047,11.319,5209.062,1.859,3.451,28.788,0.984,3.378,0.566,1.021,0.03206,0.00095,
28800.00,5123.213,-1.206,6.797,0.007127,98.5,4439.1,11438.9,98.544,0.849,0.019,1.362,1.069,3485,0.3498,0.6505,0.0069,1,0.0,0.942,0.00045,0.0,0.00064,14703.0,2.0,3.4,7800.046,3.649,10599.237,0.049,0.047,11.319,5209.062,1.859,3.451,28.788,0.984,3.378,0.566,1.021,0.03206,0.00095,
28805.00,4272.083,-1.642,5.311,0.007219,92.5,4221.0,11089.4,92.545,0.555,0.022,1.123,1.109,3485,0.3498,0.6505,0.0069,1,0.0,0.942,0.00045,0.0,0.00064,14703.0,2.0,3.4,7800.046,3.649,10599.237,0.049,0.047,11.319,5209.062,1.859,3.451,28.788,0.984,3.378,0.566,1.021,0.03206,0.00095,
28810.00,3252.777,-2.143,3.784,0.007427,88.1,3994.8,10741.3,88.083,0.332,0.027,0.891,1.195,3485,0.3498,0.6505,0.0069,1,0.0,0.942,0.00045,0.0,0.00064,14703.0,2.0,3.4,7800.046,3.649,10599.237,0.049,0.047,11.319,5209.062,1.859,3.451,28.788,0.984,3.378,0.566,1.021,0.03206,0.00095,
28815.00,2400.660,-2.681,2.289,0.008299,82.1,3761.2,10394.4,82.139,0.068,0.034,0.538,1.554,3485,0.3498,0.6505,0.0069,1,0.0,0.942,0.00045,0.0,0.00064,14703.0,2.0,3.4,7800.046,3.649,10599.237,0.049,0.047,11.319,5209.062,1.859,3.451,28.788,0.984,3.378,0.566,1.021,0.03206,0.00095,
28820.00,1630.478,-3.073,0.341,0.009395,58.3,3521.7,10048.7,58.315,0.000,0.036,0.000,2.005,3485,0.3498,0.6505,0.0069,1,0.0,0.942,0.00045,0.0,0.00064,14703.0,2.0,3.4,7800.046,3.649,10599.237,0.049,0.047,11.319,5209.062,1.859,3.451,28.788,0.984,3.378,0.566,1.021,0.03206,0.00095,
0.00,8685.993,2.980,15.466,0.005732,148.8,6183.3,15000.0,148.774,3.850,0.017,1.884,0.899,3485,0.3509,0.6202,0.0061,1,0.0,0.882,0.00047,0.0,0.00072,12805.0,1.8,2.8,8068.069,3.694,10874.268,0.050,0.045,11.951,5719.284,2.026,3.203,39.612,1.052,3.728,0.488,0.893,0.03005,0.00092,
28800.00,5545.249,-1.257,6.691,0.005935,94.0,4612.2,11758.1,93.961,0.707,0.017,0.893,0.993,3485,0.3509,0.6202,0.0061,1,0.0,0.882,0.00047,0.0,0.00072,12805.0,1.8,2.8,8068.069,3.694,10874.268,0.050,0.045,11.951,5719.284,2.026,3.203,39.612,1.052,3.728,0.488,0.893,0.03005,0.00092,
28805.00,4674.244,-1.732,5.423,0.005986,92.2,4390.7,11409.0,92.219,0.604,0.020,0.817,1.028,3485,0.3509,0.6202,0.0061,1,0.0,0.882,0.00047,0.0,0.00072,12805.0,1.8,2.8,8068.069,3.694,10874.268,0.050,0.045,11.951,5719.284,2.026,3.203,39.612,1.052,3.728,0.488,0.893,0.03005,0.00092,
28810.00,4015.064,-2.190,4.225,0.006254,88.9,4160.4,11060.4,88.931,0.394,0.022,0.669,1.141,3485,0.3509,0.6202,0.0061,1,0.0,0.882,0.00047,0.0,0.00072,12805.0,1.8,2.8,8068.069,3.694,10874.268,0.050,0.045,11.951,5719.284,2.026,3.203,39.612,1.052,3.728,0.488,0.893,0.03005,0.00092,
28815.00,3166.972,-2.622,2.892,0.006606,86.3,3922.6,10712.8,86.336,0.244,0.027,0.554,1.296,3485,0.3509,0.6202,0.0061,1,0.0,0.882,0.00047,0.0,0.00072,12805.0,1.8,2.8,8068.069,3.694,10874.268,0.050,0.045,11.951,5719.284,2.026,3.203,39.612,1.052,3.728,0.488,0.893,0.03005,0.00092,
28820.00,2429.108,-3.077,1.507,0.007789,78.7,3678.4,10366.0,78.728,0.000,0.032,0.255,1.859,3485,0.3509,0.6202,0.0061,1,0.0,0.882,0.00047,0.0,0.00072,12805.0,1.8,2.8,8068.069,3.694,10874.268,0.050,0.045,11.951,5719.284,2.026,3.203,39.612,1.052,3.728,0.488,0.893,0.03005,0.00092,
