System.X	CardiacOutput.CO	CardiacOutput.RAP	CardiacOutput.MCFP	CardiacOutput.Slope	FluidVolumes.AP	FluidVolumes.BV	FluidVolumes.ECFV	FluidVolumes.RPP	FluidVolumes.UO	FlowAutoregulation.TPR	BaroreceptorReflex.AFFNA	BaroreceptorReflex.SYMEnd	CardiacOutput.V0	CardiacOutput.slope_a	CardiacOutput.slope_b	CardiacOutput.SlopeB	CardiacOutput.HSBasic	FluidVolumes.RDrop	FluidVolumes.Intake	FlowAutoregulation.KAUTO	BaroreceptorReflex.CDROP	BaroreceptorReflex.KBARO	CardiacOutput.StarlingA	CardiacOutput.Starlingm	CardiacOutput.StarlingS	FluidVolumes.FluidA	FluidVolumes.Fluidm	FluidVolumes.FluidS	FluidVolumes.Urinem	FlowAutoregulation.AutoA	FlowAutoregulation.Autom	FlowAutoregulation.AutoS	BaroreceptorReflex.AffNaA	BaroreceptorReflex.AffNam	BaroreceptorReflex.AffNaS	BaroreceptorReflex.SympsA	BaroreceptorReflex.Sympsm	BaroreceptorReflex.SympsS	BaroreceptorReflex.SympsB	CardiacOutput.RVRa	CardiacOutput.RVRb	Randomize.V0	Randomize.SlopeB	Randomize.HSBasic	Randomize.RDrop	Randomize.Intake	Randomize.KAUTO	Randomize.CDROP	Randomize.KBARO	Randomize.StarlingA	Randomize.Starlingm	Randomize.StarlingS	Randomize.FluidA	Randomize.Fluidm	Randomize.FluidS	Randomize.Urinem	Randomize.AutoA	Randomize.Autom	Randomize.AutoS	Randomize.AffNaA	Randomize.AffNam	Randomize.AffNaS	Randomize.SympsA	Randomize.Sympsm	Randomize.SympsS	Randomize.SympsB				
28800	5095.786	19.586	26.213	0.006104	48	7762.5	41377.1	48.015	0	0.009	0.967	0.583	3468	0.3502	0.6414	0.0072	1	0	1.011	0.00047	0	0.00077	10730.7	1.8	3.2	7817.816	3.696	10858.955	0.051	0.046	12.547	5292.26	2.139	3.089	40.804	1.09	3.518	0.571	0.436	0.03717	0.00095	0.945	1.103	1.006	0.93	0.901	0.961	1	1.111	1.153	0.925	0.956	0.994	0.985	0.994	1.027	1.05	0.835	0.942	1.026	0.969	0.843	1.009	1.088	0.791	0.964	1.19	0.999		-0.1
28800	5378.591	16.422	24.006	0.00567	79.7	7666.8	33643.2	79.686	0	0.015	1.21	0.44	3433	0.3491	0.6609	0.007	1	0	0.671	0.00052	0	0.00063	12756.7	2.1	3.6	7781.205	3.723	10874.9	0.049	0.045	11.865	4895.258	1.814	3.594	32.886	0.938	3.784	0.397	0.426	0.03198	0.00093	1.038	0.803	1.144	1.017	0.896	1.074	1	1.005	0.97	1.214	0.959	0.992	1.007	1.013	0.963	1.055	1.011	1.277	1.091	1.176	0.958	1.025	0.957	0.751	1.205	1.02	0.997		0
28800	3298.471	15.678	18.782	0.004836	0	7540	25276.5	0.042	0	0	0.996	0.279	3656	0.3489	0.6624	0.0064	1	0	0.39	0.00045	0	0.00065	12141.8	2	3.2	7852.333	3.742	10795.034	0.053	0.043	10.652	6347.411	2.126	3.892	41.325	0.911	3.667	0.493	0.214	0.03519	0.00094	1.008	0.868	0.926	0.932	0.686	1.015	1	0.845	1.125	1.137	0.975	1.028	0.998	0.98	1.026	0.846	0.945	0.979	0.962	1.042	0.904	1.01	1.045	0.842	1.012	1.003	0.993		0
28800	4506.194	15.042	19.707	0.004561	16.7	7752.4	36375.3	16.66	0	0.004	1.372	0.308	3432	0.3531	0.6507	0.006	1	0	0.762	0.00046	0	0.0007	14970.6	2.1	3.5	7846.374	3.717	11095.963	0.045	0.045	10.268	4981.165	2.147	3.304	33.638	1.042	3.617	0.501	0.281	0.03036	0.00092	1.047	1.036	1.077	1.04	1.185	1.118	1	1.047	1.078	1.103	1.011	1.005	0.986	1.027	0.943	1.013	1.203	0.951	0.944	0.962	1.026	0.97	1.148	1.137	1.161	0.993	1.001		0
28800	5741.191	7.332	15.903	0.005674	86.8	6114.8	15068.9	86.82	0.793	0.015	1.227	0.483	3312	0.3506	0.6398	0.007	1	0	0.692	0.00045	0	0.0008	13204.1	1.6	3.2	7789.249	3.864	10777.162	0.057	0.051	10.879	5473.335	2.233	3.575	39.235	0.972	3.567	0.651	0.391	0.03695	0.00095	1.045	1.037	1.075	0.978	1.354	0.968	1	0.821	1.08	1.066	0.898	0.968	1.042	1.023	1.054	1.001	0.928	0.918	1.007	0.989	0.698	0.917	0.946	1.154	1.152	1.021	1.008		0.7
28800	5797.601	9.985	17.552	0.006131	61.4	6183.3	16466.8	61.379	0	0.011	0.903	0.572	3321	0.3464	0.6649	0.0071	1	0	0.189	0.00049	0	0.00061	13271.2	2.1	3.1	7504.237	3.614	10742.503	0.051	0.048	9.901	6008.27	1.91	3.678	41.253	1.054	3.395	0.513	0.438	0.036	0.00092	1.007	1.087	0.876	1.177	0.356	0.964	1	1.015	0.827	0.891	0.961	0.999	1.004	1.033	0.94	0.841	1.026	1.076	1.058	0.91	1.235	1.064	1.011	1.2	1.174	0.937	0.999		0.8
28800	4697.395	18.123	23.262	0.0055	21.1	7792.8	50884.5	21.138	0	0.004	1.099	0.327	3563	0.3519	0.6814	0.0069	1	0	1.276	0.00049	0	0.00076	14222.5	1.9	3.3	7818.558	3.804	11331.002	0.051	0.051	10.642	5100.076	2.032	3.089	37.91	1.04	3.516	0.472	0.276	0.03286	0.00095	1.032	1.09	1.14	0.895	0.988	0.998	1	1.017	1.183	1.079	1.062	0.982	1.021	0.984	1.026	1.062	1.172	1.117	0.917	1.115	1.044	1.074	0.979	1.053	1.071	0.942	1.025		0.8
28800	5749.244	10.022	18.081	0.005285	87.6	6888.8	18756.4	87.595	0.958	0.015	1.559	0.445	3467	0.3474	0.65	0.0066	1	0	0.89	0.0005	0	0.00077	13042.2	2	3.3	7787.032	3.671	10768.235	0.056	0.051	11.506	5400.308	2.161	3.946	31.669	1.001	3.427	0.596	0.409	0.03091	0.00093	1.038	0.99	1.009	1.024	0.877	1.009	1	1.041	0.944	1.104	1.049	1.025	0.987	1.003	1.039	0.886	1.043	1.012	0.885	0.839	0.759	1.005	0.933	1.305	0.911	0.98	0.981		1
28800	5088.327	2.445	10.078	0.00498	83.7	5702.7	14876.8	83.681	0.371	0.016	0.857	0.474	3679	0.3492	0.6435	0.0062	1	0	0.702	0.0005	0	0.0007	12342.7	2	3.3	7501.006	3.704	10894.36	0.047	0.048	12.76	4645.389	2.012	4.001	41.562	0.997	3.444	0.343	0.433	0.03466	0.00092	1.041	0.998	0.963	1.04	0.841	0.927	1	0.982	1.007	1.038	1.073	0.996	0.961	1.026	1.004	0.951	0.873	0.851	0.731	1.151	0.708	0.974	1.055	0.946	0.941	1.053	0.994		1.9
28800	6022.497	3.096	12.107	0.004769	92.5	5894.6	14981.1	92.472	1.309	0.015	1.133	0.446	3356	0.3517	0.6569	0.0059	1	0	1.105	0.00045	0	0.00078	14390.3	2.2	3.1	7759.479	3.555	10838.143	0.047	0.044	10.619	5312.037	2.082	3.945	38.88	0.898	3.796	0.563	0.387	0.03714	0.00092	0.944	1.068	1.035	1.14	0.663	1.046	1	1.14	0.937	1.099	0.938	1.006	1.017	1.001	1.05	1.072	1.065	0.968	0.905	0.827	1.003	1.007	1.051	1.254	0.794	0.872	1.007		2
